Ảnh profile BOD,Link
Mrs. Dang Thuy Nga,Untitled Session22789.JPG
Mrs. Vu Ngan Binh,Untitled Session22765.JPG
Mrs. Hoang Tuyet Mai,hoang tuyet mai.png
Ms. Luong Thi Hong Hanh,luong hong hanh.png
Ảnh giải thưởng,
1. Korea-International Youth Olympiad — KIYO,NCKH KIYO 01.jpg
2. Global Youth Summit — GYS,NCKH GYS 01.jpg
3. AI JAM US,AI JAM.jpg
"4. TESLA FEST — International Festival of Innovation, Knowledge, and, Creativity",TESLA FEST.jpg
5. Asia Business Simulation — ABS,1. Super Gold Junior
6. International Creative Papers Conference — ICPC,ICPC.jpg
7. iWise Global Final — The International World Innovative Student Expo,10.png
Ảnh testimonial,
Ảnh testimonial Đỗ Hoàng Minh Tuệ,do hoang minh tue.jpg
Ảnh testimonial Hwang YoungGoon - Gold Medalist at iWise Global Final (Dubai),IMG_8228.HEIC
Ảnh testimonial Nguyen Lan Bao - Gold Medalist at iWise Global Final (Dubai),IMG_8232.HEIC
"Ảnh testimonial Tran Mai Chi, Student at Hanoi Amsterdam High School for the Gifted",tran mai chi.jpg
"Ảnh testimonial Vu Ba Minh, Student in the Environmental Chemistry Research Project",vu ba minh.jpg
"Ảnh testimonial Mrs Cao Bich Hue, Parent of a Student in the Biotechnology Research Project",Cao Bich Hue
"Ảnh testimonial Mrs. Duong Quynh Huong, Parent of Student Nguyen Quynh Trang",Duong Quynh Huong
"Ảnh testimonial Le Khanh Hoa - Gold Medalist, ABS Ho Chi Minh City Regional Round",DSCF3018.jpg
"Ảnh testimonial Le Trinh Bao Han - Gold Medalist, International ABS Championship Winning Team",trinh bao han.jpg
"Ảnh testimonial Pham Anh Kiet - Gold Medalist, International ABS Championship Winning Team",pham anh kiet.jpg
"Ảnh testimonial Vu Bao Nghi - Gold Medalist, International ABS Championship Winning Team",vu bao nghi.jpg
Ảnh các chương trình,
ADVANCED SCIENTIFIC RESEARCH,https://photos.app.goo.gl/1KdaxBovNrV88pSW8
"EDUCATION CONSULTING
USA - UK - Australia - Canada - Singapore - Europe",https://share.google/jvxxZWHQMjm4D7a9K
PROFESSIONAL INTERNSHIP,thuc tap.jpg
ACADEMIC COMPETITION MENTORING,https://share.google/TR3Ty7rC3Jrlu5j7a
BUSINESS & ENTREPRENEURSHIP TRAINING,667616633_122120502519182805_3683317716921958346_n.jpg
GSJ CAREER YOUTH CAMP,IMG_7228.JPG
INTERNATIONAL ACADEMIC QUALIFICATIONS & ADMISSIONS EXAMS PREPARATION (IGCSE - A Level - SAT - AP - IB),https://share.google/CIG7JV9QsIhyMFoF5
INTEGRATED PRACTICAL SCIENCE,FKHTH37.jpg
Logo đối tác,
"University of New South Wales (UNSW), Australia",https://share.google/4jc5xBVFa82gPb00y
"University of Sydney (USYD), Australia",https://share.google/RCyH4lCUDmXPS96RJ
National University of Singapore (NUS),https://share.google/O05ZASN4MecrTaxWJ
"Nanyang Technological University (NTU), Singapore",https://share.google/ayF3u24IOFcKyNv18
"Hemispheres Foundation, Singapore",https://share.google/0gpN2O3FaUf5XeryS
Hanoi University of Science and Technology (ĐH Bách Khoa),https://share.google/5GjSU5B3G7kifux1v
The English Connection,logo EC 1.jpg
Kevin Doan English Center,logo kevin doan.png
CN Vision,Logo.png
